Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance_0,magnetic_field_covariance_1,magnetic_field_covariance_2,magnetic_field_covariance_3,magnetic_field_covariance_4,magnetic_field_covariance_5,magnetic_field_covariance_6,magnetic_field_covariance_7,magnetic_field_covariance_8
1676104314.2247717,8140,1676104314,211260360,base_link,2.7495881915092468e-05,1.2678134441375729e-05,-2.951996624469757e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104314.244724,8141,1676104314,231029360,base_link,2.713139057159424e-05,1.3110551238059994e-05,-2.996376752853394e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104314.263275,8142,1676104314,250882360,base_link,2.6094311475753787e-05,1.3568282127380368e-05,-2.98439621925354e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104314.2864563,8143,1676104314,270587360,base_link,2.8413456678390505e-05,1.2892946600913998e-05,-3.0358654260635377e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104314.3030274,8144,1676104314,290334360,base_link,2.5791439414024353e-05,1.3014099001884457e-05,-2.9402685165405275e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104314.342265,8145,1676104314,329914344,base_link,2.6862245798110962e-05,1.2853819131851194e-05,-2.9889363050460816e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104314.363407,8146,1676104314,349685344,base_link,2.7278685569763186e-05,1.2756361067295072e-05,-2.9529947042465213e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104314.3813026,8147,1676104314,369452344,base_link,2.778841555118561e-05,1.2829908728599546e-05,-2.979015111923218e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104314.4026191,8148,1676104314,389237344,base_link,2.5944674015045167e-05,1.3194173574447629e-05,-2.9414355754852297e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104314.4245038,8149,1676104314,409030328,base_link,2.7438044548034668e-05,1.2890294194221493e-05,-3.0006259679794314e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
