Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,vector.x,vector.y,vector.z
1676469337.5732555,229,1676469337,570302009,,4.826843843840198,6.118124755143147,0.25323857194948896
1676469337.5826676,230,1676469337,580536603,,4.850124999641911,6.132892290353986,0.34331803506330516
1676469337.5916152,231,1676469337,590251207,,4.608304795003012,6.0104833496163845,0.2944373560747438
1676469337.601958,232,1676469337,600037574,,4.569931205637788,6.062385235766617,0.21905789448211155
1676469337.6117997,233,1676469337,610118150,,4.492899831042065,6.017291908300108,0.23220572034266013
1676469337.6218235,234,1676469337,620328903,,4.366476048975166,5.946562270967613,0.24985545827690983
1676469337.6348617,235,1676469337,630718231,,4.193158366063353,5.832051034004171,0.17418895022774517
1676469337.6421297,236,1676469337,640103340,,4.042480245740108,5.769414616079893,0.19114996005100904
1676469337.6517038,237,1676469337,650326728,,4.035335686975934,5.873807355438521,0.12079557818347172
1676469337.6653626,238,1676469337,661894083,,3.8116749600216977,5.676847947081478,0.1547476553709306
1676469337.6726801,239,1676469337,670603990,,3.5765139702254345,5.663001265072453,0.06460909220015165
1676469337.6822011,240,1676469337,680184602,,3.336836282906458,5.596520707801614,0.08566287716389802
1676469337.6962175,241,1676469337,690112590,,3.322681688843505,5.629046534851371,0.12396803140319555
1676469337.7023032,242,1676469337,700069665,,3.1000035168577544,5.568116244053061,0.08430425426046739
1676469337.7122715,243,1676469337,710286378,,3.0120684170680807,5.644710571976103,0.07562344206626619
1676469337.721694,244,1676469337,720265150,,2.942479934842821,5.582499319052109,0.08194499486373522
1676469337.7324407,245,1676469337,730136156,,2.8156677999355355,5.566334169452473,0.04069290244044035
1676469337.7416158,246,1676469337,740191459,,2.600135336193571,5.493233861058608,-0.007597391364022451
1676469337.751732,247,1676469337,750221729,,2.311123713778054,5.408960219815274,0.0524335917821633
1676469337.7627938,248,1676469337,760647773,,2.320607832854205,5.520133752348034,-0.05475566261432273
1676469337.7712626,249,1676469337,770054578,,2.1267887388556437,5.354836718122717,0.046365694916918464
1676469337.7816687,250,1676469337,780083894,,2.0280847626980854,5.37352258241225,-0.048306185222184765
1676469337.7965715,251,1676469337,790111303,,1.915696447420409,5.3583551642624805,-0.0008608480155408795
1676469337.8027759,252,1676469337,801118373,,1.9410383904306008,5.403793622391501,-0.05052322865358838
1676469337.8125157,253,1676469337,810467004,,1.895290550625333,5.39900428569895,-0.06386703127799066
1676469337.8222022,254,1676469337,820093631,,1.658780312877513,5.368401734942943,-0.051181715349227025
1676469337.8315115,255,1676469337,830034732,,1.5911457646019225,5.402162210786718,-0.11206043468150698
1676469337.8414562,256,1676469337,840151309,,1.5367337327177915,5.281990985513634,-0.010178304301522289
1676469337.8529623,257,1676469337,850212812,,1.4706302868791303,5.351264823790356,-0.13605524778965825
1676469337.8699474,258,1676469337,863857984,,1.348024695609118,5.247951739340993,-0.10500367834374932
1676469337.8780606,259,1676469337,872709035,,1.2792948299714686,5.3643103387116335,-0.15400036066309086
1676469337.8832986,260,1676469337,880544185,,1.1456526395365934,5.217967715781756,-0.08224447451288165
1676469337.891351,261,1676469337,890117406,,1.141743922211817,5.334182852288262,-0.14152736404089508
1676469337.9024591,262,1676469337,900012254,,1.0606440245292321,5.268749007561742,-0.12462358696668828
1676469337.913546,263,1676469337,910307407,,0.8306233902996086,5.269010441725908,-0.14831992349492557
1676469337.922141,264,1676469337,920195341,,0.8360314218750251,5.298409014729182,-0.1676509976610104
1676469337.9355822,265,1676469337,930384159,,0.7835927458833983,5.357063005272746,-0.1542308612131333
1676469337.9428463,266,1676469337,940161466,,0.7025691291661479,5.434857481511596,-0.18878268078073018
1676469337.9514413,267,1676469337,950093507,,0.5066550418957753,5.308834935640494,-0.22955248241242654
1676469337.9635723,268,1676469337,961400985,,0.6473406260892345,5.3849661377221185,-0.26689522352050155
1676469337.9713447,269,1676469337,970047473,,0.6242902995075292,5.445958996261528,-0.21027006340839488
1676469337.9826326,270,1676469337,980129003,,0.43842967660215904,5.332900186313026,-0.19403606407904717
1676469337.9917076,271,1676469337,990474462,,0.42631568366109884,5.511985513627975,-0.26426183957950394
1676469338.0052693,272,1676469338,1775503,,0.2883331034160015,5.44926654151754,-0.20085101417009762
1676469338.01401,273,1676469338,10192155,,0.3182011416477812,5.5156070168263716,-0.2596723210551278
1676469338.0222318,274,1676469338,20408630,,0.27204359098938335,5.576696353770625,-0.24041853784325737
1676469338.0349216,275,1676469338,30224800,,0.11553247516571208,5.558900982855518,-0.2173307660688302
1676469338.0416324,276,1676469338,39982795,,0.058793751734896114,5.690703082695733,-0.33112875875163533
1676469338.051873,277,1676469338,50160169,,0.11221013115253153,5.652859996125908,-0.2731290638828443
1676469338.0664186,278,1676469338,63070774,,0.1343289137479836,5.65773753780748,-0.2984039357331999
1676469338.0725648,279,1676469338,70154190,,0.12218528789941524,5.706930515400374,-0.35689210487648154
1676469338.0822973,280,1676469338,80178737,,-0.026372226858104475,5.700173411714378,-0.29254940639417837
1676469338.0917113,281,1676469338,90219497,,-0.018741122455544393,5.660443798862919,-0.2097599359132681
1676469338.1035175,282,1676469338,101629018,,0.03503333764332389,5.7219188422772636,-0.3266395871571545
1676469338.1119325,283,1676469338,110282659,,-0.09006565578951271,5.672438747422913,-0.27783765920997294
1676469338.1227443,284,1676469338,120242118,,0.057843302988911376,5.780967099501915,-0.31987027122963024
1676469338.1339188,285,1676469338,130120038,,-0.04312139748722925,5.744178014677484,-0.3368327124432368
