Time,transforms
1676469335.125416,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 933544161
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.329811692237854
    y: -0.5838783383369446
    z: 0.1246342808008194
  rotation: 
    x: -0.021994123235344887
    y: 0.04689650610089302
    z: -0.0017287045484408736
    w: -0.998656153678894]"
1676469335.1254392,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 944149998
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298187255859375
    y: -0.5838802456855774
    z: 0.124640554189682
  rotation: 
    x: -0.02180047705769539
    y: 0.04685879498720169
    z: -0.0015696276677772403
    w: -0.9986624121665955]"
1676469335.125517,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 944288607
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.329815149307251
    y: -0.5838792324066162
    z: 0.12464644014835358
  rotation: 
    x: -0.02155681513249874
    y: 0.046954549849033356
    z: -0.001595260575413704
    w: -0.9986631274223328]"
1676469335.1255693,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 953367153
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298143148422241
    y: -0.5838836431503296
    z: 0.1246219277381897
  rotation: 
    x: -0.022205382585525513
    y: 0.04669470712542534
    z: -0.0016337379347532988
    w: -0.9986610412597656]"
1676469335.1255953,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 953433189
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298166990280151
    y: -0.5838823318481445
    z: 0.12463945895433426
  rotation: 
    x: -0.021654831245541573
    y: 0.04703827574849129
    z: -0.0017465720884501934
    w: -0.9986568093299866]"
1676469335.125606,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 963382795
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298112154006958
    y: -0.5838808417320251
    z: 0.12462522834539413
  rotation: 
    x: -0.022036777809262276
    y: 0.0468173585832119
    z: -0.0016463124193251133
    w: -0.998659074306488]"
1676469335.12563,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 963457887
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.32982337474823
    y: -0.5838844776153564
    z: 0.12464196234941483
  rotation: 
    x: -0.021691208705306053
    y: 0.04689531400799751
    z: -0.0015634190058335662
    w: -0.9986631274223328]"
1676469335.125647,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 973398049
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298128843307495
    y: -0.5838826894760132
    z: 0.12462607771158218
  rotation: 
    x: -0.0218826811760664
    y: 0.046816349029541016
    z: -0.0016112943412736058
    w: -0.998662531375885]"
1676469335.1256685,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 973548621
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298132419586182
    y: -0.5838794112205505
    z: 0.12462916970252991
  rotation: 
    x: -0.022047672420740128
    y: 0.04679478704929352
    z: -0.0017119046533480287
    w: -0.9986597299575806]"
1676469335.1257548,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 973605361
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.329817771911621
    y: -0.5838855504989624
    z: 0.124640554189682
  rotation: 
    x: -0.021796396002173424
    y: 0.0469319187104702
    z: -0.0016999096842482686
    w: -0.9986588358879089]"
1676469335.1257718,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 983352285
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.329815149307251
    y: -0.5838809013366699
    z: 0.12464394420385361
  rotation: 
    x: -0.021753797307610512
    y: 0.046985309571027756
    z: -0.0017595002427697182
    w: -0.9986571669578552]"
1676469335.1343672,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 983487042
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298137187957764
    y: -0.5838868021965027
    z: 0.12463225424289703
  rotation: 
    x: -0.021948114037513733
    y: 0.04678233712911606
    z: -0.0015748789301142097
    w: -0.9986627101898193]"
1676469335.146864,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 983537875
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298109769821167
    y: -0.5838866829872131
    z: 0.12463749200105667
  rotation: 
    x: -0.02173457108438015
    y: 0.046954765915870667
    z: -0.0016093970043584704
    w: -0.9986593127250671]"
1676469335.146982,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 993382834
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298137187957764
    y: -0.5838816165924072
    z: 0.1246393620967865
  rotation: 
    x: -0.021803760901093483
    y: 0.046850770711898804
    z: -0.001608675462193787
    w: -0.9986626505851746]"
1676469335.147025,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 993535239
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298190832138062
    y: -0.5838841795921326
    z: 0.12464099377393723
  rotation: 
    x: -0.021740242838859558
    y: 0.04690331965684891
    z: -0.001608431339263916
    w: -0.9986615777015686]"
